Customer,"Sold Tons","Quoted Tons (From 'Jobs Quoted')","Quoted Tons (From 'Quoted Vs. Sold')","Sold Percentage (From 'Jobs Quoted')"
"FISHER METAL PRODUCTS",0,19.25710126,20.8,0
"J&D FABRICATION & REPAIR",0,19.14386082,20.68,0
"ALLEYS WELDING INC",0,19.25710126,19.64,0
"LHL CONSTRUCTION, INC.",8.442009822,53.211400822,66.45,0.15865039618558
"TELKO ENTERPRISES",0,16.44495108,17.76,0
"ROMAK IRON WORKS",0,11.416839555,25.41,0
W&W,0,26.61758753,16.7,0
"RAZCO METAL ",0,14.97364873,16.17,0
"SCHERER STEEL STRUCTURES, INC",0,14.67070591,15.65,0
"AMFAB STEEL, INC.",0,13.95390582,15.07,0
"WMK AND CO",0,13.58263457,14.67,0
"DWC CONSTRUCTION ",12.8032316,12.8032316,13.83,1
"SCHROEDER IRON CORPORATION",0,12.35714957,13.45,0
"WASHINGTON IRON WORKS",0,12.35714957,13.45,0
"SANTA CLARA STEEL ",0,11.62487513,12.55,0
"S R FREEMAN INC.",0,11.62487513,12.55,0
"WYNRIGHT (ILLINOIS)",5.769528717,6.632341623,20.27,0.869908253367425
"IBS USA INC",0,11.50385017,12.42,0
"VP BUILDINGS - MO",0,11.05517393,11.94,0
"ADVANCED BUILDING METAL FAB",0,20.604190427,21.3,0
"WESTERN ERECTORS STRUCTURAL ST",0,12.11724919,11.81,0
"SCHUFF STEEL CA",0,10.21206045,11.03,0
"CHIEF INDUSTRIES",0,32.502701864,35.09,0
"LIBERTY STEEL INC",0,15.921152055,17.19,0
"MICHAEL AND COMPANY",0,8.442009822,9.12,0
"VALLEY IRON FAB. ERECTORS",3.4,11.092769832,15.39,0.306505954012659
"BLUFF MANUFACTURING, INC",0,8.86218024,9.56,0
"GLAZIER IRON WORKS",0,7.545766844,8.15,0
"G2 METAL FAB",0,8.524230763,9.2,0
"HEARTLAND ENGINEERED PRODUCTS",0,6.5263381,7.05,0
"FALCON IRON INC.",0,11.516796716,15.32,0
"ACCELERATED METAL FABRICATION ",0,3.524155617,6.68,0
"ADDISON, INC.",0,4.405545324,4.76,0
"VDS WEST",0,4.399577856,4.75,0
"MCSWEENEY STEEL COMPANY",0,4.159982562,4.49,0
"FABCO METAL PRODUCTS",0,3.908304751,4.22,0
"ALLIED STEEL BUILDINGS, INC",0,3.461750478,3.74,0
"SCHULTE BLDG SYSTEMS - AL",0,2.560634501,2.77,0
"NORTHERN STEEL CO ",0,2.422624856,2.62,0
"KASCO STRUCTURES LLC",0,2.141737737,2.31,0
"BC STEEL BUILDINGS INC",0,0.681471623,2.01,0
"NOVA GROUP INC.",0.42,1.846263126,1.99,0.227486534332702
"AREA IRON & STEEL WORKS ",0,1.23975727,1.34,0
"TCB INDUSTRIAL INC ",0,1.205934376,1.3,0
"CECO BLDG SYSTEMS - IA - NCI",0,1.027158894,1.11,0
"STEEL TECH INDUSTRIAL CORP.",0,0.849166065,0.92,0
"KTK GENERAL CONTRACTING LIMITE",0,0.722550884,0.78,0
"CASTLE STEEL",0,0.603836045,0.65,0
"SOUTHWEST IRONWORK INC",0,0.476650178,0.51,0
"1-GENERAL BID",0,0.384110294,0.41,0
"WAL-MART REALTY",0.29367426,0.29367426,0.32,1
"WALKCON ",0,0,0,0
"ACT METAL DECK SUPPLY",0,0,0,0
"MK CUSTOM FABRICATION LLC. CO",0,0,0,0
"CALCO CONSTRUCTION SERVICES",0,0,0,0
"NEW MEXICO STEEL FABRICATORS ",0,0,0,0
"MISCELLANEOUS SOLUTIONS LLC",0,0,0,0
"CUTTING EDGE FABRICATION",0,0,0,0
"DESERT STRUCTURES",0,0,0,0
"METAL DECK DIRECT",0,0,0,0
"AFFILIATED RESOURCES, INC.",0,0,0,0
"SUPREME GROUP",0,0,0,0
"NEW MILLENNIUM - TN ",0,0,0,0
"STEELE SOLUTIONS INC. - OH",0,0,0,0
"FUTURE DB INTERNATIONAL INC.",0.403700717,0,0,0
"NEW MILLENNIUM- FL",0,0,0,0
APEL,0,0,0,0
"INFINITY METALS INC",0,7.139599264,0,0
"STEEL SPECIALTIES INC",0,0,0,0
"TIPPEN STEEL SERVICES",0,0,0,0
"AMERICAN TRADITION CONSTRUCTIO",0,0,0,0
"ARC STEEL ",0,0,0,0
"UNITED METAL DECK LLC",0,0,0,0
"ALL THINGS METAL ",0,0,0,0
"ZZONE CONSTRUCTION, LLC",0,0,0,0
"SOUTHWESTERN STEEL & SUPPLY",0,0,0,0
"PROGRESSIVE ROOFING ",0,0,0,0
"GILLETT CONSTRUCTION",0,0,0,0
"NEW MILLENNIUM -AR ",0,0,0,0
"UNITED STRUCTURES OF AMERICA",0,0,0,0
"BLUESCOPE CONSTRUCTION",0,0,0,0
"VP BUILDINGS - WI",0,0,0,0
"BUTLER MFG - PA",0,0,0,0
"PRESCIENT CO",0,0,0,0
"W & W STEEL",0,0,0,0
"WILLIAM A NASH FABRICATION",0,0,0,0
"MACARTHUR CO ",0,0,0,0
"R.T.I. BRIDGE",0,0,0,0
"MARTIN FIREPROOFING",0,0,0,0
KIEWIT,0,0,0,0
"PROJECT FROG INC.",0,0,0,0
"JOBSITE STEEL ",0,0,0,0
"MCINTYRE METAL DECKING ",0,0,0,0
"PACIFIC COAST IRON",0,0,0,0
"EL DORADO IRON WORKS INC",0,0,0,0
"A2I SYSTEMS",0,0,0,0
"BELL STEEL INC",0,467.0572702,0,0
"ADF GROUPE",0,0,0,0
"ROCKY POINT IRON INC",0,0,0,0
"CAMPBELL CERTIFIED, INC.",0,0,0,0
"BASIC METALS",0,0,0,0
"PRECISION IRON FAB ",0,0,0,0
